TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency
2025-12-21 20:04:07,1766347447480,maxime-api-git-main-maxiences-projects.vercel.app/favicon.ico,GET,,404,htqzz-1766347447284-619b30febc1d,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",error,production,main,MISS,serverless,/src/main.ts,maxime-api-git-main-maxiences-projects.vercel.app,maxime-api-git-main-maxiences-projects.vercel.app,dpl_CV2oZHAeJXqmpQXCWFFTr7zBdjPQ,,,,,--- EXCEPTION DÉTECTÉE ---,prj_dZcyCHvHfJApleF26PbdVlBxKKLo,,,,,
2025-12-21 20:04:07,1766347447480,maxime-api-git-main-maxiences-projects.vercel.app/favicon.ico,GET,,404,htqzz-1766347447284-619b30febc1d,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",error,production,main,MISS,serverless,/src/main.ts,maxime-api-git-main-maxiences-projects.vercel.app,maxime-api-git-main-maxiences-projects.vercel.app,dpl_CV2oZHAeJXqmpQXCWFFTr7zBdjPQ,,,,,"NotFoundException: Cannot GET /favicon.ico
    at callback (/var/task/backend/node_modules/@nestjs/core/router/routes-resolver.js:77:19)
    at /var/task/backend/node_modules/@nestjs/core/router/router-proxy.js:9:23
    at Layer.handleRequest (/var/task/backend/node_modules/router/lib/layer.js:152:17)
    at trimPrefix (/var/task/backend/node_modules/router/index.js:342:13)
    at /var/task/backend/node_modules/router/index.js:297:9
    at processParams (/var/task/backend/node_modules/router/index.js:582:12)
    at next (/var/task/backend/node_modules/router/index.js:291:5)
    at Layer.handleRequest (/var/task/backend/node_modules/router/lib/layer.js:147:12)
    at trimPrefix (/var/task/backend/node_modules/router/index.js:342:13)
    at /var/task/backend/node_modules/router/index.js:297:9 {
  response: {
    message: 'Cannot GET /favicon.ico',
    error: 'Not Found',
    statusCode: 404
  },
  status: 404,
  options: {}
}",prj_dZcyCHvHfJApleF26PbdVlBxKKLo,,,,,
2025-12-21 20:04:07,1766347447284,maxime-api-git-main-maxiences-projects.vercel.app/favicon.ico,GET,,404,htqzz-1766347447284-619b30febc1d,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",,production,main,MISS,serverless,/src/main.ts,maxime-api-git-main-maxiences-projects.vercel.app,maxime-api-git-main-maxiences-projects.vercel.app,dpl_CV2oZHAeJXqmpQXCWFFTr7zBdjPQ,6,iad1,278,2048,,prj_dZcyCHvHfJApleF26PbdVlBxKKLo,,,01KD186759QTXKFXE295AW9QVF,vLm1h5RW7xGF,1
2025-12-21 20:04:07,1766347447040,maxime-api-git-main-maxiences-projects.vercel.app/,GET,,404,9msm6-1766347446798-1124f3e146e7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",error,production,main,MISS,serverless,/src/main.ts,maxime-api-git-main-maxiences-projects.vercel.app,maxime-api-git-main-maxiences-projects.vercel.app,dpl_CV2oZHAeJXqmpQXCWFFTr7zBdjPQ,,,,,--- EXCEPTION DÉTECTÉE ---,prj_dZcyCHvHfJApleF26PbdVlBxKKLo,,,,,
2025-12-21 20:04:07,1766347447044,maxime-api-git-main-maxiences-projects.vercel.app/,GET,,404,9msm6-1766347446798-1124f3e146e7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",error,production,main,MISS,serverless,/src/main.ts,maxime-api-git-main-maxiences-projects.vercel.app,maxime-api-git-main-maxiences-projects.vercel.app,dpl_CV2oZHAeJXqmpQXCWFFTr7zBdjPQ,,,,,"NotFoundException: Cannot GET /
    at callback (/var/task/backend/node_modules/@nestjs/core/router/routes-resolver.js:77:19)
    at /var/task/backend/node_modules/@nestjs/core/router/router-proxy.js:9:23
    at Layer.handleRequest (/var/task/backend/node_modules/router/lib/layer.js:152:17)
    at trimPrefix (/var/task/backend/node_modules/router/index.js:342:13)
    at /var/task/backend/node_modules/router/index.js:297:9
    at processParams (/var/task/backend/node_modules/router/index.js:582:12)
    at next (/var/task/backend/node_modules/router/index.js:291:5)
    at Layer.handleRequest (/var/task/backend/node_modules/router/lib/layer.js:147:12)
    at trimPrefix (/var/task/backend/node_modules/router/index.js:342:13)
    at /var/task/backend/node_modules/router/index.js:297:9 {
  response: { message: 'Cannot GET /', error: 'Not Found', statusCode: 404 },
  status: 404,
  options: {}
}",prj_dZcyCHvHfJApleF26PbdVlBxKKLo,,,,,
2025-12-21 20:04:06,1766347446798,maxime-api-git-main-maxiences-projects.vercel.app/,GET,,404,9msm6-1766347446798-1124f3e146e7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",,production,main,MISS,serverless,/src/main.ts,maxime-api-git-main-maxiences-projects.vercel.app,maxime-api-git-main-maxiences-projects.vercel.app,dpl_CV2oZHAeJXqmpQXCWFFTr7zBdjPQ,71,iad1,292,2048,,prj_dZcyCHvHfJApleF26PbdVlBxKKLo,,,01KD1866NJD6TPZGH2B0WWQN4X,vLm1h5RW7xGF,1
2025-12-21 20:03:58,1766347438936,maxime-7mlmkvsmy-maxiences-projects.vercel.app/favicon.ico,GET,,404,hcjfk-1766347438884-2d4914bacb35,vercel-screenshot/1.0,error,production,main,MISS,serverless,/src/main.ts,maxime-7mlmkvsmy-maxiences-projects.vercel.app,maxime-7mlmkvsmy-maxiences-projects.vercel.app,dpl_CV2oZHAeJXqmpQXCWFFTr7zBdjPQ,,,,,--- EXCEPTION DÉTECTÉE ---,prj_dZcyCHvHfJApleF26PbdVlBxKKLo,,,,,
2025-12-21 20:03:58,1766347438936,maxime-7mlmkvsmy-maxiences-projects.vercel.app/favicon.ico,GET,,404,hcjfk-1766347438884-2d4914bacb35,vercel-screenshot/1.0,error,production,main,MISS,serverless,/src/main.ts,maxime-7mlmkvsmy-maxiences-projects.vercel.app,maxime-7mlmkvsmy-maxiences-projects.vercel.app,dpl_CV2oZHAeJXqmpQXCWFFTr7zBdjPQ,,,,,"NotFoundException: Cannot GET /favicon.ico
    at callback (/var/task/backend/node_modules/@nestjs/core/router/routes-resolver.js:77:19)
    at /var/task/backend/node_modules/@nestjs/core/router/router-proxy.js:9:23
    at Layer.handleRequest (/var/task/backend/node_modules/router/lib/layer.js:152:17)
    at trimPrefix (/var/task/backend/node_modules/router/index.js:342:13)
    at /var/task/backend/node_modules/router/index.js:297:9
    at processParams (/var/task/backend/node_modules/router/index.js:582:12)
    at next (/var/task/backend/node_modules/router/index.js:291:5)
    at Layer.handleRequest (/var/task/backend/node_modules/router/lib/layer.js:147:12)
    at trimPrefix (/var/task/backend/node_modules/router/index.js:342:13)
    at /var/task/backend/node_modules/router/index.js:297:9 {
  response: {
    message: 'Cannot GET /favicon.ico',
    error: 'Not Found',
    statusCode: 404
  },
  status: 404,
  options: {}
}",prj_dZcyCHvHfJApleF26PbdVlBxKKLo,,,,,
2025-12-21 20:03:58,1766347438884,maxime-7mlmkvsmy-maxiences-projects.vercel.app/favicon.ico,GET,,404,hcjfk-1766347438884-2d4914bacb35,vercel-screenshot/1.0,,production,main,MISS,serverless,/src/main.ts,maxime-7mlmkvsmy-maxiences-projects.vercel.app,maxime-7mlmkvsmy-maxiences-projects.vercel.app,dpl_CV2oZHAeJXqmpQXCWFFTr7zBdjPQ,6,iad1,292,2048,,prj_dZcyCHvHfJApleF26PbdVlBxKKLo,,,01KD185YT9GQX8FYAT8YJMBA2H,vLm1h5RW7xGF,1
2025-12-21 20:03:58,1766347438818,maxime-7mlmkvsmy-maxiences-projects.vercel.app/,GET,,404,hcjfk-1766347438756-c524dfe08ecc,vercel-screenshot/1.0,error,production,main,MISS,serverless,/src/main.ts,maxime-7mlmkvsmy-maxiences-projects.vercel.app,maxime-7mlmkvsmy-maxiences-projects.vercel.app,dpl_CV2oZHAeJXqmpQXCWFFTr7zBdjPQ,,,,,--- EXCEPTION DÉTECTÉE ---,prj_dZcyCHvHfJApleF26PbdVlBxKKLo,,,,,
